id,category,carbs,calories,protein,fats,fiber,name,restaurant,alcohol,food_type,quantity,unit,old_quantity,show
11766,Miscellaneous,0,160,40,0,0,40 G,local,0,veg,1,shake,1,f
1,Miscellaneous,49,237,9,1,1,"Wheat, Bread (Brown)","",0,veg,100,gm,100,t
31364,Milscellaneous,27,158,3,6,0,dondakaya koora (homemade),local,0,veg,0,cup,0,t
31365,Milscellaneous,2,128,0,0,0,beerakaya koora (homemade),local,0,veg,0,cup,0,t
31366,Milscellaneous,1,72,0,7,0,anapakaya koora (generic),local,0,veg,30,gms,30,t
31367,Milscellaneous,6,48,2,2,0,broccoli koora (harish's),local,0,veg,100,gms,100,t
31368,Milscellaneous,35,565,17,23,0,chickpea koora (curry),local,0,veg,1,cup,1,t
31369,Milscellaneous,67,414,9,15,0,bangaladumpa upma koora (blue apron),local,0,veg,1,cup,1,t
31370,Milscellaneous,12,97,1,4,0,pulusu (raji's),local,0,veg,1,cup,1,t
31371,Milscellaneous,21,207,0,33,0,arvi pulusu (homemade),local,0,veg,1,cup,1,t
31372,Milscellaneous,24,145,2,4,0,bendakaya munakaya pulusu (homemade),local,0,veg,1,cup,1,t
31373,Milscellaneous,17,142,9,4,0,majjiga pulusu (homemade),local,0,veg,1,serving,1,t
31374,Milscellaneous,0,145,0,4,0,mukkula pulusu (homemade),local,0,veg,1,cup,1,t
31375,Milscellaneous,3,120,1,0,0,totakura pulusu (generic),local,0,veg,1,cup,1,t
31376,Milscellaneous,0,70,0,0,0,gummidika pulusu (homemade),local,0,veg,1,cup,1,t
31377,Milscellaneous,24,221,2,14,0,egg pulusu (swapna's),local,0,veg,1,whole,1,t
31378,Milscellaneous,10,230,37,2,0,chepala pulusu (homemade),local,0,veg,284,gms,284,t
31379,Milscellaneous,48,350,10,15,0,spring onion pulusu (homemade),local,0,veg,1,cup,1,t
31380,Milscellaneous,10,25,0,0,0,pachi pulusu (homemade),local,0,veg,0,cup,0,t
31381,Milscellaneous,11,120,5,4,0,majjiga pulusu (generic),local,0,veg,1,cup,1,t
31382,Milscellaneous,6,66,3,3,0,okra pachadi (eurest),local,0,veg,113,gms,113,t
31383,Milscellaneous,6,66,3,3,0,eggplant pachadi (eurest),local,0,veg,113,gms,113,t
31384,Milscellaneous,22,460,22,34,0,peanut pachadi (homemade),local,0,veg,1,cup,1,t
31385,Milscellaneous,10,134,4,9,0,cabbage pachadi (salad),local,0,veg,168,gms,168,t
31386,Milscellaneous,54,328,12,8,0,tomato pachadi (generic),local,0,veg,1,cup,1,t
31387,Milscellaneous,8,191,3,16,0,brinjal pachadi (kopitiam),local,0,veg,68,gms,68,t
31388,Milscellaneous,0,250,0,0,0,manga pachadi (homemade),local,0,veg,1,cup,1,t
31389,Milscellaneous,8,35,0,0,0,chintakaya pachadi (generic),local,0,veg,1,tbsp,1,t
31390,Milscellaneous,7,60,3,2,0,tomato onion pachadi (eurest),local,0,veg,113,gms,113,t
31391,Milscellaneous,19,223,3,16,0,pineapple pachadi (homemade),local,0,veg,1,cup,1,t
31392,Milscellaneous,5,27,0,1,0,vellarika pachadi (homemade),local,0,veg,15,gms,15,t
31393,Milscellaneous,4,454,2,47,0,garlic pachadi (manjira),local,0,veg,1,portion,1,t
31394,Milscellaneous,27,102,0,0,0,banana vella pachadi (homemade),local,0,veg,0,cup,0,t
31395,Milscellaneous,27,110,0,0,0,mango pachadi (homemade),local,0,veg,100,gms,100,t
31396,Milscellaneous,4,462,2,27,0,manjira pachadi (homemade),local,0,veg,100,gms,100,t
31397,Milscellaneous,3,200,11,6,0,rasam (nourish),local,0,veg,1,cup,1,t
31398,Milscellaneous,48,296,10,6,0,rasam (maiyas),local,0,veg,1,cup,1,t
31399,Milscellaneous,5,25,1,0,0,rasam (vish),local,0,veg,100,ml,100,t
31400,Milscellaneous,13,70,2,1,0,rasam (homemade),local,0,veg,1,cup,1,t
